Serial Number,Name,Paid for the Course,Age,City,Education,Domain,Channel Name
2670,Molly Collins,0,40,Bangalore,BBM/MCA/MBA/Management & Others,Other,Channel 3
2671,Theresa Herman,0,21,Ghaziabad,BCA,Other,Channel 1
2672,David Garcia,0,24,Nagpur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2673,Justin Obrien,0,28,Bokaro Steel City,Engineering,Other,Channel 1
2674,Erin Hansen,0,30,Bhubaneswar,B.SC,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 2
2675,Damon Delacruz,0,34,Kurnool,Engineering,Other,Channel 2
2676,Derek Brooks,0,17,Bareilly,Engineering,Hospitality/Travel,Channel 1
2677,Erik Johnson,0,43,Mumbai,Engineering,Other,Channel 5
2678,Michael Rivera,0,32,Lucknow,B.SC,Admin/Data Entry/Secretary/Front Office,Channel 2
2679,William Allen,0,28,Vellore,BBM/MCA/MBA/Management & Others,Other,Channel 1
2680,Shannon Moore,0,43,Kolkata,Engineering,Sales/Business Development/Legal,Channel 2
2681,Dennis Zamora,0,19,Jabalpur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2682,Patrick Coleman,0,40,Chennai,BBM/MCA/MBA/Management & Others,Other,Channel 5
2683,Tyler Thomas,0,44,Hyderabad,Engineering,Sales/Business Development/Legal,Channel 3
2684,Brandy Gonzales,0,35,Patna,B.Com,BPO/KPO/Customer Service/ITES,Channel 2
2685,Cynthia Chang,0,24,Nagpur,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2686,Jennifer Massey,0,34,Hubli–Dharwad,Engineering,Core Engineering/R&D,Channel 2
2687,Gail Duncan,0,44,Chennai,Engineering,Other,Channel 3
2688,James Green,0,32,Purulia Prayagraj,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 2
2689,Alex Harris,0,43,Bangalore,Engineering,Other,Channel 5
2690,Maria Bryant,0,31,Sangli,Engineering,Hospitality/Travel,Channel 2
2691,Jack Hayes,0,41,Delhi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
2692,Michelle Herring,0,40,Kolkata,Engineering,Teaching/Educators,Channel 3
2693,Mrs. Michelle Osborne,0,44,Ahmedabad,BBA,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2694,Kathryn Trujillo,0,25,Lucknow,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2695,Dawn Holmes,0,30,Guwahati,BBM/MCA/MBA/Management & Others,Teaching/Educators,Channel 2
2696,Jennifer Bell,0,37,Moradabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2697,Mr. Dennis Odom,0,34,Goa,BBM/MCA/MBA/Management & Others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 2
2698,Robert Morales,0,20,Srinagar,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2699,Laura Edwards,0,24,Bhiwandi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2700,Aaron Martin,0,35,Kurnool,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2701,Stephanie Perez,0,27,Bhiwandi,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2702,Joseph Green,0,32,Bijapur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2703,Stephanie Cooper,0,41,Chennai,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2704,Lori Lindsey,0,23,Thrissur,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
2705,Zachary Wilcox,0,23,Aligarh,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2706,Kimberly Green,0,41,Hyderabad,B.Com/BBM/BBA/MBA/Management & others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 4
2707,Jack Morgan,0,28,Noida,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2708,Jeremy Roberts,0,43,Chennai,B.Com,Sales/Business Development/Legal,Channel 5
2709,Breanna Edwards,0,24,Aurangabad,B.Com,Sales/Business Development/Legal,Channel 2
2710,Christopher Taylor,0,34,Gulbarga,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 2
2711,Brandi Alexander,0,42,Pune,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2712,Sandra Fitzpatrick,0,19,Gwalior,Engineering,Sales/Business Development/Legal,Channel 1
2713,Robert Green,0,34,Srinagar,Engineering,Core Engineering/R&D,Channel 2
2714,David Hull,0,36,Bhilai,BBM/MCA/MBA/Management & Others,Hospitality/Travel,Channel 2
2715,Eddie Brown,0,18,Ranchi,Engineering,Teaching/Educators,Channel 1
2716,Walter Santiago,1,23,Delhi,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 2
2717,Christopher Murray,0,18,Gwalior,BCA,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2718,Dominique Paul,0,43,Delhi,Engineering,Other,Channel 5
2719,Nathaniel Phillips,0,44,Hyderabad,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 4
2720,Michael Patterson,0,20,Bhiwandi,B.Com,Other,Channel 1
2721,Kirk Shaw,0,19,Erode,BCA,Other,Channel 1
2722,Douglas Hill,0,23,Amravati,BCA,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2723,Richard Stevens,0,40,Kolkata,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
2724,Theresa Davis,0,32,Srinagar,B.Com,Pharma/Medical/Biotech/Healthcare,Channel 2
2725,Garrett Robinson,0,20,Firozabad,BBM/MCA/MBA/Management & Others,Other,Channel 1
2726,Justin Jackson,0,26,Kolhapur,B.SC,Other,Channel 1
2727,Tara Burgess,0,35,Bhubaneswar,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2728,Isabel Miller,1,24,Delhi,Engineering,Other,Channel 1
2729,Paul Lawson,0,24,Dhanbad,BBM/MCA/MBA/Management & Others,Data Science/Data Analysis/Business Intelligence,Channel 1
2730,Spencer Rodriguez,0,40,Kolkata,BBM/MCA/MBA/Management & Others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 2
2731,Timothy Gilbert,0,45,Mumbai,BBM/MCA/MBA/Management & Others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 5
2732,Nicholas Jones,0,40,Hyderabad,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2733,Janet Sims,0,32,Malappuram,B.Com/BBM/BBA/MBA/Management & others,Teaching/Educators,Channel 2
2734,Russell Combs,0,30,Aligarh,Engineering,Other,Channel 2
2735,Betty Williams,0,42,Pune,Engineering,BPO/KPO/Customer Service/ITES,Channel 3
2736,Kevin Perry,0,27,Asansol,BBM/MCA/MBA/Management & Others,Admin/Data Entry/Secretary/Front Office,Channel 1
2737,Elizabeth Sloan,0,24,Belgaum,BCA,Other,Channel 1
2738,George Flores,0,28,Guwahati,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2739,Juan Hill,0,27,Thrissur,BCA,Other,Channel 1
2740,Joseph Lara,1,21,Delhi,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2741,Mary Hancock,1,23,Delhi,B.SC,Teaching/Educators,Channel 2
2742,Tricia Sanchez,0,22,Jodhpur,Engineering,Teaching/Educators,Channel 1
2743,Crystal Hall,0,41,Pune,B.Com/BBM/BBA/MBA/Management & others,BPO/KPO/Customer Service/ITES,Channel 3
2744,Mary Brown,0,37,Amritsar,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2745,Raymond Lopez,0,17,Gorakhpur,Engineering,Ed-Tech,Channel 1
2746,Jenny Davis,0,34,Erode,BBM/MCA/MBA/Management & Others,Other,Channel 2
2747,William Johnston,0,25,Jamshedpur,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2748,Hailey Hill,0,35,Bhubaneswar,BBM/MCA/MBA/Management & Others,Sales/Business Development/Legal,Channel 2
2749,Michelle Woods,0,24,Indore,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2750,Lindsay Austin,0,44,Ahmedabad,BCA,Sales/Business Development/Legal,Channel 4
2751,Mrs. Heather Carr,0,21,Kochi,BBM/MCA/MBA/Management & Others,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 1
2752,Diane Miller,0,41,Delhi,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2753,Elizabeth Mccoy,0,22,Ajmer,BBM/MCA/MBA/Management & Others,Data Science/Data Analysis/Business Intelligence,Channel 1
2754,Olivia Hendricks,1,35,Amritsar,Engineering,Sales/Business Development/Legal,Channel 5
2755,Eric Salinas,0,19,Jhansi,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2756,Jennifer Brown,0,42,Mumbai,B.SC,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 3
2757,John Robinson,1,21,Chennai,Engineering,Other,Channel 1
2758,Timothy Hill,0,41,Ahmedabad,Engineering,Teaching/Educators,Channel 5
2759,Jay Garcia,1,18,Hyderabad,Engineering,Sales/Business Development/Legal,Channel 2
2760,Kyle Colon,1,18,Bangalore,Engineering,Other,Channel 1
2761,Kevin Thompson,0,43,Pune,Computer Science,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 3
2762,Lindsey Meza,0,24,Lucknow,B.Com/BBM/BBA/MBA/Management & others,BPO/KPO/Customer Service/ITES,Channel 1
2763,Alex Cordova,0,42,Hyderabad,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 3
2764,Eric Becker,0,25,Faridabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2765,Robert Webster,0,40,Ahmedabad,Engineering,Core Engineering/R&D,Channel 4
2766,Abigail Turner,0,36,Malappuram,Engineering,Other,Channel 2
2767,Lisa Morris PhD,0,44,Delhi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
2768,Emma Orozco,0,43,Chennai,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
2769,Michael Lewis,0,20,Bhubaneswar,Engineering,Core Engineering/R&D,Channel 1
2770,Deborah Adams,0,41,Pune,Engineering,Teaching/Educators,Channel 3
2771,Nicole Taylor,0,37,Nanded,BBM/MCA/MBA/Management & Others,Other,Channel 2
2772,Angela Allen,0,42,Kolkata,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2773,Alexander Jimenez,0,31,Rajahmundry,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 2
2774,Anthony Johnson,0,44,Bangalore,BCA,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2775,Taylor Petersen,0,19,Coimbatore,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2776,David Scott,1,18,Chennai,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2777,Kevin Walker,0,40,Bangalore,Engineering,Other,Channel 5
2778,Timothy Flores,1,34,Aurangabad,BBM/MCA/MBA/Management & Others,BPO/KPO/Customer Service/ITES,Channel 5
2779,David Shelton,0,36,Bilaspur,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2780,Mark Palmer,0,23,Siliguri,B.Com,Admin/Data Entry/Secretary/Front Office,Channel 1
2781,Tina Young,0,21,Gurgaon,B.SC,Other,Channel 1
2782,Mr. Brian Wilson,0,21,Nagpur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2783,Krystal Dodson,0,18,Visakhapatnam,BBA,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2784,Dylan Costa,0,44,Mumbai,Engineering,BPO/KPO/Customer Service/ITES,Channel 3
2785,Angelica Christensen DVM,0,20,Jalandhar,Engineering,Sales/Business Development/Legal,Channel 1
2786,Gregory Williams,0,28,Jamnagar,Engineering,Teaching/Educators,Channel 1
2787,Eric Curry,0,26,Chandigarh,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
2788,Richard Love,0,21,Dehradun,B.Com,BPO/KPO/Customer Service/ITES,Channel 1
2789,Zachary Miller,0,17,Firozabad,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
2790,Katherine Wright,0,21,Shimla,Engineering,Other,Channel 1
2791,Kari Wilson,0,26,Jodhpur,BBM/MCA/MBA/Management & Others,Admin/Data Entry/Secretary/Front Office,Channel 1
2792,David Jefferson,1,24,Kolkata,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2793,Todd Harmon,1,27,Ahmedabad,BCA,Other,Channel 4
2794,Jennifer Whitney,0,40,Mumbai,Engineering,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 2
2795,Catherine Floyd MD,0,20,Dehradun,B.SC,Other,Channel 1
2796,Dr. Samantha Craig,0,20,Chandigarh,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2797,Emily Leonard,0,37,Asansol,Engineering,Other,Channel 2
2798,Mark Guzman,0,24,Bijapur,Engineering,Teaching/Educators,Channel 1
2799,Paula Rollins,0,22,Jaipur,BCA,Other,Channel 1
2800,Alexander Fitzgerald,0,25,Mathura,Engineering,Other,Channel 1
2801,Jacob Singh,0,24,Jaipur,Computer Science,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2802,Rebecca Roach,0,42,Ahmedabad,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2803,Rebecca Rogers,0,22,Vadodara,BCA,Data Science/Data Analysis/Business Intelligence,Channel 1
2804,Jacob Boyle,0,18,Gorakhpur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2805,Rhonda Potter,0,45,Ahmedabad,BBM/MCA/MBA/Management & Others,Core Engineering/R&D,Channel 3
2806,Peter Tucker,0,43,Chennai,BBM/MCA/MBA/Management & Others,Other,Channel 4
2807,Amy Murillo,1,23,Hyderabad,Engineering,BPO/KPO/Customer Service/ITES,Channel 2
2808,Heidi Tyler,0,45,Delhi,B.SC,Sales/Business Development/Legal,Channel 5
2809,Justin Douglas,0,19,Srinagar,Engineering,BPO/KPO/Customer Service/ITES,Channel 1
2810,Nathan Mitchell,0,27,Vadodara,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2811,Paula Hayes,0,35,Meerut,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2812,Kevin Huynh,0,45,Chennai,Engineering,BPO/KPO/Customer Service/ITES,Channel 5
2813,Angela Hawkins,0,22,Kanpur,B.Com/BBM/BBA/MBA/Management & others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
2814,Melvin Kim,0,41,Ahmedabad,BBM/MCA/MBA/Management & Others,Teaching/Educators,Channel 4
2815,Bryan Bailey,0,21,Pondicherry,B.SC,Other,Channel 1
2816,Ian Garcia,0,22,Vadodara,BBM/MCA/MBA/Management & Others,Core Engineering/R&D,Channel 1
2817,Diane Oconnell,1,19,Bangalore,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2818,Jacqueline Brown,0,41,Pune,B.SC,Sales/Business Development/Legal,Channel 4
2819,Nicole Deleon,0,35,Vasai-Virar City,Engineering,Sales/Business Development/Legal,Channel 2
2820,Joshua Rosales,0,30,Ujjain,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2821,Patrick Ortiz,0,21,Jalandhar,B.Com,Other,Channel 1
2822,Lisa Mcclure,0,26,Thiruvananthapuram,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2823,Robin Rice,0,20,Amritsar,Engineering,Other,Channel 1
2824,Kimberly Turner,0,42,Mumbai,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2825,Maria Lamb,0,17,Vijayawada,Engineering,Other,Channel 1
2826,James Coffey,0,37,Bhavnagar,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2827,Jeffrey Waters,1,36,Asansol,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2828,Dr. Teresa Clark,0,28,Durgapur,Engineering,Other,Channel 2
2829,Ashley Cisneros,0,17,Hamirpur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2830,Frederick Martinez,0,34,Nashik,B.SC,Other,Channel 2
2831,John Owen,0,34,Noida,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 2
2832,Paul Tucker,0,35,Dhanbad,Engineering,Teaching/Educators,Channel 2
2833,Catherine Stewart,0,45,Pune,Engineering,Sales/Business Development/Legal,Channel 3
2834,Sarah Lara,0,35,Aurangabad,Engineering,Core Engineering/R&D,Channel 2
2835,Kenneth Collins,0,35,Kanpur,B.SC,Pharma/Medical/Biotech/Healthcare,Channel 2
2836,Jenny Hart,0,45,Ahmedabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2837,Angela Kirk,0,20,Agra,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2838,Michael Obrien,0,35,Thiruvananthapuram,Engineering,Teaching/Educators,Channel 2
2839,Jeffrey Wallace,0,30,Bokaro Steel City,Engineering,Other,Channel 2
2840,Benjamin Mcguire,0,44,Bangalore,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 4
2841,David Miller,0,25,Srinagar,BBM/MCA/MBA/Management & Others,Core Engineering/R&D,Channel 1
2842,Kevin Evans,0,34,Nagpur,B.Com,Other,Channel 2
2843,Ebony Vasquez,0,21,Bikaner,Engineering,Pharma/Medical/Biotech/Healthcare,Channel 1
2844,Samuel Browning,0,40,Bhiwandi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2845,Denise May DVM,0,21,Nashik,B.Com,Other,Channel 1
2846,Suzanne Bennett,0,32,Bareilly,Engineering,Other,Channel 2
2847,Joseph Richardson,0,21,Chandigarh,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2848,Jacob Miles,0,42,Mumbai,Engineering,Core Engineering/R&D,Channel 4
2849,Stephanie Rodriguez,0,43,Kolkata,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2850,Marie Williams,0,18,Sangli,Engineering,BPO/KPO/Customer Service/ITES,Channel 1
2851,John Dixon,0,30,Kochi,BBA,Other,Channel 2
2852,Nancy Wood,0,28,Dehradun,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 1
2853,Christina Hughes,0,44,Pune,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 3
2854,Jeremy Wiley,0,18,Jodhpur,Engineering,Pharma/Medical/Biotech/Healthcare,Channel 1
2855,Morgan Hart,0,40,Mumbai,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 3
2856,Jason Jones,0,19,Kannur,Engineering,Sales/Business Development/Legal,Channel 1
2857,Nathan Hernandez,0,36,Jammu,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2858,Jeremy Willis,0,35,Firozabad,BBM/MCA/MBA/Management & Others,Sales/Business Development/Legal,Channel 2
2859,Kimberly Scott,0,28,Pondicherry,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2860,Eric Turner,0,41,Pune,B.Com/BBM/BBA/MBA/Management & others,Other,Channel 2
2861,Kevin Guzman,0,24,Bareilly,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2862,Jeff Davis,0,19,Moradabad,Engineering,Other,Channel 1
2863,Michael Keller,0,33,Bokaro Steel City,BBM/MCA/MBA/Management & Others,BPO/KPO/Customer Service/ITES,Channel 2
2864,Amanda Duarte,0,36,Visakhapatnam,B.SC,Other,Channel 2
2865,Ross Williams,0,43,Kolkata,B.Com,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 3
2866,Paul Mitchell,0,25,Gurgaon,Engineering,Other,Channel 1
2867,Richard Richards,0,32,Aurangabad,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 2
2868,Katrina Lawrence,0,43,Pune,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 4
2869,William Lopez,0,41,Hyderabad,B.Com/BBM/BBA/MBA/Management & others,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 5
2870,Christopher Miller,0,17,Patna,B.Com,Ed-Tech,Channel 1
2871,Jeanette Dillon,0,19,Bhilai,B.Com,Admin/Data Entry/Secretary/Front Office,Channel 1
2872,Rhonda Wells,0,26,Meerut,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 2
2873,Kathy Allen,0,36,Nanded,BCA,Other,Channel 2
2874,Garrett Lang,0,21,Nagpur,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2875,Laura Brooks,0,33,Amritsar,BBM/MCA/MBA/Management & Others,Sales/Business Development/Legal,Channel 2
2876,William Evans,0,42,Kolkata,Engineering,Other,Channel 4
2877,Cameron Hill,0,40,Mumbai,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 4
2878,Jeremiah Robinson,0,32,Hamirpur,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2879,David Black,0,26,Aligarh,Engineering,Sales/Business Development/Legal,Channel 1
2880,Teresa Bender,0,21,Nanded,B.Com,Pharma/Medical/Biotech/Healthcare,Channel 1
2881,Timothy Avery,0,41,Chennai,Engineering,Core Engineering/R&D,Channel 5
2882,Amanda Drake,0,17,Aurangabad,B.SC,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2883,Albert Mckenzie,0,31,Vasai-Virar City,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2884,Joshua Castro,1,27,Mumbai,Engineering,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 3
2885,Matthew Martinez,0,35,Belgaum,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2886,Dana Garcia,0,27,Nellore,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2887,Jenna Rivas,0,20,Meerut,B.SC,Admin/Data Entry/Secretary/Front Office,Channel 1
2888,Chad Cruz,0,19,Asansol,Engineering,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 1
2889,Megan Hernandez,0,42,Mumbai,B.Com,Digital Marketing/UI UX/Designers/PR/Content Creation,Channel 5
2890,Eric Hudson,0,34,Jhansi,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2891,Michael Wilcox,0,45,Mumbai,B.SC,Ed-Tech,Channel 4
2892,Jacqueline Levine,0,21,Siliguri,Engineering,BPO/KPO/Customer Service/ITES,Channel 1
2893,Donald Allen,0,36,Kakinada,B.SC,Other,Channel 2
2894,Melinda Mcdaniel,0,18,Jhansi,Engineering,Other,Channel 1
2895,Amanda Ware,0,23,Guwahati,B.SC,Teaching/Educators,Channel 1
2896,Meghan Jones,0,35,Jaipur,BBM/MCA/MBA/Management & Others,Sales/Business Development/Legal,Channel 2
2897,Steven Johnson,0,17,Kurnool,Engineering,Sales/Business Development/Legal,Channel 1
2898,Melissa Watson,0,30,Tiruppur,BBM/MCA/MBA/Management & Others,Sales/Business Development/Legal,Channel 2
2899,Ashley Logan,0,33,Gwalior,B.Com,Sales/Business Development/Legal,Channel 2
2900,Amanda Gilbert,0,42,Hyderabad,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2901,Jodi Powell,0,44,Delhi,Engineering,Management/Leadership/Business Owner/Startup Founder/CXO,Channel 2
2902,Amy Mathews,0,17,Ranchi,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2903,Tanya Johnson,0,32,Aligarh,Engineering,Ed-Tech,Channel 2
2904,Alyssa Collins,0,17,Ranchi,B.SC,BPO/KPO/Customer Service/ITES,Channel 1
2905,Larry Avila,0,25,Varanasi,BBM/MCA/MBA/Management & Others,BFSI/Tax/Audit/Insurance/Accounts/CA/Company Secretary,Channel 1
2906,Dr. Katrina Owens,0,43,Mumbai,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 5
2907,Alexandra Riggs,0,28,Ajmer,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 1
2908,Rachel Kane,0,40,Chennai,B.Com/BBM/BBA/MBA/Management & others,Core Engineering/R&D,Channel 2
2909,Paula Parsons,0,23,Dhanbad,Engineering,BPO/KPO/Customer Service/ITES,Channel 1
2910,Brittany Johnson,0,24,Ranchi,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2911,Gregory Jacobs,0,31,Erode,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2912,Kristen Manning,0,17,Pondicherry,B.Com,Other,Channel 1
2913,Veronica Wilcox,0,44,Ahmedabad,B.SC,Teaching/Educators,Channel 5
2914,Megan Brown,0,37,Jhansi,Engineering,Pharma/Medical/Biotech/Healthcare,Channel 2
2915,Richard Stewart,0,31,Rourkela,B.Com/BBM/BBA/MBA/Management & others,Data Science/Data Analysis/Business Intelligence,Channel 2
2916,Anthony Kim,0,24,Guwahati,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
2917,Christine Johnson,0,37,Coimbatore,Engineering,BPO/KPO/Customer Service/ITES,Channel 2
2918,Patrick Chambers,0,43,Mumbai,Engineering,Other,Channel 5
2919,Ryan Fitzgerald,0,44,Bangalore,Engineering,BPO/KPO/Customer Service/ITES,Channel 5
2920,Maureen Rivera,0,33,Solapur,BBM/MCA/MBA/Management & Others,Teaching/Educators,Channel 2
2921,Pamela Reese,0,21,Tiruppur,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 1
2922,Gina Garcia,0,34,Tiruppur,Engineering,BPO/KPO/Customer Service/ITES,Channel 2
2923,Kiara Collins,1,18,Chennai,Engineering,Other,Channel 1
2924,Dana Barnett,0,18,Bijapur,B.Com,Other,Channel 1
2925,Bradley Davis,0,36,Sangli,B.SC,Other,Channel 2
2926,Lisa Taylor,0,22,Indore,Engineering,Sales/Business Development/Legal,Channel 1
2927,Christopher Wright,1,23,Delhi,BBM/MCA/MBA/Management & Others,Admin/Data Entry/Secretary/Front Office,Channel 1
2928,Chad Peters,0,31,Bhubaneswar,B.Com/BBM/BBA/MBA/Management & others,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2929,Daniel Hinton,0,42,Kolkata,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2930,Harry Chambers,0,18,Ghaziabad,Engineering,Sales/Business Development/Legal,Channel 1
2931,Vicki Morrison,0,43,Bangalore,BBM/MCA/MBA/Management & Others,IT/Software/Programming/Testing/Devops/Product Management,Channel 3
2932,Karen Smith,0,42,Chennai,Engineering,Other,Channel 2
2933,David Walker,0,44,Ahmedabad,B.Com,IT/Software/Programming/Testing/Devops/Product Management,Channel 2
2934,Cheryl Burton,0,44,Chandigarh,Engineering,Admin/Data Entry/Secretary/Front Office,Channel 5
2935,John Fox,0,18,Lucknow,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 1
2936,Amanda Flores,1,18,Delhi,B.Com,Other,Channel 2
2937,Sheryl Gutierrez,0,42,Pune,Engineering,Data Science/Data Analysis/Business Intelligence,Channel 4
2938,Clifford Jones,0,33,Lucknow,Engineering,Sales/Business Development/Legal,Channel 2
2939,Alicia Franklin,0,37,Mathura,Engineering,Sales/Business Development/Legal,Channel 2
2940,Jacqueline Owens,1,17,Hyderabad,BCA,Sales/Business Development/Legal,Channel 2
2941,Samuel Wolfe,0,28,Solapur,Engineering,IT/Software/Programming/Testing/Devops/Product Management,Channel 1
